county,address,name,dem,rep,grn,lib,unaf,oth,total,date,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
CHARLES,282,155,25,55,0,1,34,3,118,2018-04-30,21.1864406779661,46.61016949152542,0,0.847457627118644,28.8135593220339,2.5423728813559325
DORCHESTER,85,26,18,12,0,1,5,0,36,2018-04-30,50,33.33333333333333,0,2.7777777777777777,13.88888888888889,0
FREDERICK,449,222,41,40,3,6,63,1,154,2018-04-30,26.623376623376622,25.97402597402597,1.948051948051948,3.896103896103896,40.909090909090914,0.6493506493506493
GARRETT,37,21,13,2,0,0,4,1,20,2018-04-30,65,10,0,0,20,5
HARFORD,431,189,63,41,4,6,63,6,183,2018-04-30,34.42622950819672,22.404371584699454,2.185792349726776,3.278688524590164,34.42622950819672,3.278688524590164
HOWARD,434,217,42,47,4,7,60,6,166,2018-04-30,25.301204819277107,28.313253012048197,2.4096385542168677,4.216867469879518,36.144578313253014,3.614457831325301
KENT,29,25,4,6,0,0,4,0,14,2018-04-30,28.57142857142857,42.857142857142854,0,0,28.57142857142857,0
MONTGOMERY,2068,1086,201,220,12,17,365,31,846,2018-04-30,23.75886524822695,26.004728132387704,1.4184397163120568,2.0094562647754137,43.14420803782506,3.664302600472813
PR. GEORGE'S,2329,1021,142,71,7,3,105,26,354,2018-04-30,40.11299435028249,20.056497175141246,1.977401129943503,0.847457627118644,29.66101694915254,7.344632768361582
QUEEN ANNE'S,68,41,11,7,2,1,7,0,28,2018-04-30,39.285714285714285,25,7.142857142857142,3.571428571428571,25,0
ST. MARY'S,222,106,28,18,0,1,28,1,76,2018-04-30,36.84210526315789,23.684210526315788,0,1.3157894736842104,36.84210526315789,1.3157894736842104
SOMERSET,38,13,15,5,0,0,7,0,27,2018-04-30,55.55555555555556,18.51851851851852,0,0,25.925925925925924,0
TALBOT,74,43,4,17,0,0,23,0,44,2018-04-30,9.090909090909092,38.63636363636363,0,0,52.27272727272727,0
WASHINGTON,367,137,31,33,0,3,27,4,98,2018-04-30,31.63265306122449,33.6734693877551,0,3.061224489795918,27.55102040816326,4.081632653061225
WICOMICO,183,74,15,15,2,2,16,3,53,2018-04-30,28.30188679245283,28.30188679245283,3.7735849056603774,3.7735849056603774,30.18867924528302,5.660377358490567
WORCESTER,134,62,33,9,1,2,32,3,80,2018-04-30,41.25,11.25,1.25,2.5,40,3.75
Total,12796,6147,1291,955,64,88,1306,117,3821,2018-04-30,33.786966762627586,24.99345721015441,1.6749542004710807,2.303062025647736,34.179534153362994,3.0620256477361947
ALLEGANY,127,42,43,11,1,1,31,5,92,2018-05-31,46.73913043478261,11.956521739130435,1.0869565217391304,1.0869565217391304,33.69565217391305,5.434782608695652
ANNE ARUNDEL,1503,830,196,126,11,19,289,10,651,2018-05-31,30.107526881720432,19.35483870967742,1.6897081413210446,2.9185867895545314,44.39324116743472,1.5360983102918586
BALTIMORE CITY,2743,1772,233,211,26,10,241,18,739,2018-05-31,31.52909336941813,28.55209742895805,3.5182679296346415,1.3531799729364005,32.61163734776725,2.435723951285521
BALTIMORE CO.,2202,1359,277,193,22,14,270,26,802,2018-05-31,34.538653366583546,24.064837905236907,2.7431421446384037,1.7456359102244388,33.66583541147132,3.2418952618453867
CALVERT,239,142,133,23,2,9,73,4,244,2018-05-31,54.50819672131148,9.426229508196721,0.819672131147541,3.6885245901639343,29.918032786885245,1.639344262295082
CAROLINE,170,55,34,4,1,1,31,2,73,2018-05-31,46.57534246575342,5.47945205479452,1.36986301369863,1.36986301369863,42.465753424657535,2.73972602739726
CARROLL,350,190,73,47,5,5,76,6,212,2018-05-31,34.43396226415094,22.169811320754718,2.358490566037736,2.358490566037736,35.84905660377358,2.8301886792452833
CECIL,252,204,51,27,3,6,53,9,149,2018-05-31,34.22818791946309,18.120805369127517,2.013422818791946,4.026845637583892,35.57046979865772,6.0402684563758395
CHARLES,464,282,49,143,1,2,72,6,273,2018-05-31,17.94871794871795,52.38095238095239,0.3663003663003663,0.7326007326007326,26.373626373626376,2.197802197802198
DORCHESTER,67,42,26,8,0,1,12,1,48,2018-05-31,54.166666666666664,16.666666666666664,0,2.083333333333333,25,2.083333333333333
FREDERICK,639,343,93,83,8,9,147,9,349,2018-05-31,26.64756446991404,23.78223495702006,2.292263610315186,2.5787965616045847,42.12034383954155,2.5787965616045847
GARRETT,48,29,17,6,0,0,9,0,32,2018-05-31,53.125,18.75,0,0,28.125,0
HARFORD,668,334,115,70,6,10,121,6,328,2018-05-31,35.0609756097561,21.341463414634145,1.8292682926829267,3.048780487804878,36.890243902439025,1.8292682926829267
HOWARD,713,446,87,86,2,13,176,20,384,2018-05-31,22.65625,22.395833333333336,0.5208333333333333,3.3854166666666665,45.83333333333333,5.208333333333334
KENT,36,24,7,13,0,2,18,0,40,2018-05-31,17.5,32.5,0,5,45,0
MONTGOMERY,3702,2411,282,487,33,33,1038,46,1919,2018-05-31,14.695153725898905,25.37780093798854,1.7196456487754037,1.7196456487754037,54.09067222511725,2.3970818134445024
PR. GEORGE'S,3292,1865,241,129,25,12,261,40,708,2018-05-31,34.03954802259887,18.220338983050848,3.531073446327684,1.694915254237288,36.86440677966102,5.649717514124294
QUEEN ANNE'S,110,61,22,9,4,2,33,2,72,2018-05-31,30.555555555555557,12.5,5.555555555555555,2.7777777777777777,45.83333333333333,2.7777777777777777
ST. MARY'S,405,161,50,31,1,2,53,2,139,2018-05-31,35.97122302158273,22.302158273381295,0.7194244604316548,1.4388489208633095,38.1294964028777,1.4388489208633095
SOMERSET,66,33,20,5,0,0,15,1,41,2018-05-31,48.78048780487805,12.195121951219512,0,0,36.58536585365854,2.4390243902439024
TALBOT,127,73,20,20,2,2,50,3,97,2018-05-31,20.618556701030926,20.618556701030926,2.0618556701030926,2.0618556701030926,51.546391752577314,3.0927835051546393
WASHINGTON,787,200,50,23,5,3,55,0,136,2018-05-31,36.76470588235294,16.911764705882355,3.6764705882352944,2.2058823529411766,40.44117647058824,0
WICOMICO,287,122,30,24,3,1,25,6,89,2018-05-31,33.70786516853933,26.96629213483146,3.3707865168539324,1.1235955056179776,28.08988764044944,6.741573033707865
WORCESTER,146,89,70,8,1,1,35,4,119,2018-05-31,58.82352941176471,6.722689075630252,0.8403361344537815,0.8403361344537815,29.411764705882355,3.361344537815126
Total,19143,11109,2219,1787,162,158,3184,226,7736,2018-05-31,28.684074457083764,23.09979317476732,2.094105480868666,2.0423991726990693,41.15822130299897,2.921406411582213
ALLEGANY,107,40,24,10,0,2,16,2,54,2018-06-30,44.44444444444444,18.51851851851852,0,3.7037037037037033,29.629629629629626,3.7037037037037033
