county,dem,rep,grn,lib,unaf,oth,total,date,conf.mailing,inactive,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
FREDERICK,62515,66275,450,1286,38697,328,169551,2018-03-31,4615,11637,36.87091199698026,39.08853383347783,0.2654068687297627,0.7584738515254997,22.82322133163473,0.19345211765191594
GARRETT,4243,12699,37,101,2470,132,19682,2018-03-31,107,1341,21.557768519459405,64.52088202418453,0.18798902550553806,0.5131592317853877,12.549537648612946,0.6706635504521898
HARFORD,64127,77292,393,1376,34926,1109,179223,2018-03-31,975,9551,35.780563878520056,43.12616126278435,0.21927989153177882,0.7677586024115208,19.487454177198238,0.6187821875540528
HOWARD,105567,55746,503,1247,47593,1827,212483,2018-03-31,1065,14279,49.682562840321346,26.235510605554325,0.23672482033856826,0.5868704790500887,22.398497762173918,0.8598334925617578
KENT,5962,4708,28,76,2061,104,12939,2018-03-31,67,874,46.07774943967849,36.386119483731356,0.21640003091429016,0.5873715124816447,15.928587989798284,0.8037715433959348
MONTGOMERY,377811,114210,1644,3008,142806,4633,644112,2018-03-31,6870,82673,58.656103286384976,17.73138832997988,0.255235114390044,0.4669995280323919,22.170988896341008,0.7192848448716993
PR. GEORGE'S,450125,40762,1053,1601,66708,11538,571787,2018-03-31,10224,43829,78.72249631418693,7.128878411016689,0.18415948596243006,0.2799993703949198,11.66658213635497,2.017884282084063
QUEEN ANNE'S,10666,17721,79,251,6600,178,35495,2018-03-31,174,2160,30.049302718692772,49.925341597408085,0.22256655867023525,0.7071418509649247,18.594168192703197,0.5014790815607832
ST. MARY'S,25538,29287,133,533,14272,411,70174,2018-03-31,548,5935,36.392396044118904,41.734830564026566,0.1895288853421495,0.759540570581697,20.338016929347052,0.5856870065836349
SOMERSET,5876,5169,19,58,1812,73,13007,2018-03-31,38,1077,45.175674636734065,39.740139924655956,0.14607519028215576,0.44591373875605445,13.930960252171905,0.5612362573998616
TALBOT,10004,11583,46,157,4882,187,26859,2018-03-31,114,1492,37.2463606239994,43.125209427007704,0.1712647529692096,0.5845340481775196,18.176402695558284,0.6962284522878737
WASHINGTON,31911,42306,258,690,19215,465,94845,2018-03-31,639,9122,33.645421477146925,44.60540882492487,0.27202277399968366,0.7275027676735726,20.259370551953186,0.49027360430175554
WICOMICO,26410,22752,143,410,10944,438,61097,2018-03-31,719,4165,43.22634499238915,37.23914431150466,0.2340540452068023,0.6710640456978249,17.912499795407303,0.7168928097942615
WORCESTER,14076,16512,84,245,6953,295,38165,2018-03-31,249,2404,36.88195991091314,43.26477138739683,0.2200969474649548,0.6419494301061182,18.21826280623608,0.772959517882877
Total,2136893,1006027,9332,21152,704106,31874,3909384,2018-03-31,49967,299496,54.66060637686142,25.733644993686983,0.23870768387040003,0.5410571077182492,18.010663572573073,0.8153202652898768
ALLEGANY,13783,21365,138,286,7194,298,43064,2018-04-30,13,3007,32.00585175552666,49.61220509009846,0.3204532788407951,0.6641278097715029,16.70536875348319,0.6919933122793981
ANNE ARUNDEL,160971,134849,840,2764,83725,1253,384402,2018-04-30,201,20866,41.87569263427349,35.08020249634497,0.2185212355815006,0.7190389227943663,21.780583867929927,0.3259608430757384
