year,month,date,party,number,source
2011,September,9/30/2011,oth,37829,https://elections.maryland.gov/pdf/vrar/2011_09.pdf
2011,September,9/30/2011,total,3457468,https://elections.maryland.gov/pdf/vrar/2011_09.pdf
2012,September,9/30/2012,dem,2008234,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,rep,944235,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,ame,88,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,grn,8503,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,lib,10682,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,unaf,590357,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,oth,40060,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2012,September,9/30/2012,total,3602159,https://elections.maryland.gov/pdf/vrar/2012_09.pdf
2013,September,9/30/2013,dem,2057916,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,rep,953103,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,ame,305,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,grn,8382,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,lib,12641,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,unaf,640212,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,oth,37518,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2013,September,9/30/2013,total,3710077,https://elections.maryland.gov/pdf/vrar/2013_09.pdf
2014,September,9/30/2014,dem,2043479,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2014,September,9/30/2014,rep,954940,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2014,September,9/30/2014,grn,8448,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2014,September,9/30/2014,lib,14550,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2014,September,9/30/2014,unaf,662964,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2014,September,9/30/2014,oth,34317,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2014,September,9/30/2014,total,3718698,https://elections.maryland.gov/pdf/vrar/2014_09.pdf
2015,September,9/30/2015,dem,2020200,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2015,September,9/30/2015,rep,959631,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2015,September,9/30/2015,grn,8484,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2015,September,9/30/2015,lib,16443,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2015,September,9/30/2015,unaf,682897,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2015,September,9/30/2015,oth,31864,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2015,September,9/30/2015,total,3719519,https://elections.maryland.gov/pdf/vrar/2015_09.pdf
2016,September,9/30/2016,dem,2140253,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2016,September,9/30/2016,rep,1015030,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2016,September,9/30/2016,grn,8614,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2016,September,9/30/2016,lib,18448,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2016,September,9/30/2016,unaf,678907,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2016,September,9/30/2016,oth,31074,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2016,September,9/30/2016,total,3892326,https://elections.maryland.gov/pdf/vrar/2016_09.pdf
2017,September,9/30/2017,dem,2142135,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2017,September,9/30/2017,rep,1012730,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2017,September,9/30/2017,grn,9321,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2017,September,9/30/2017,lib,20680,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2017,September,9/30/2017,unaf,695937,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2017,September,9/30/2017,oth,31814,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2017,September,9/30/2017,total,3912617,https://elections.maryland.gov/pdf/vrar/2017_09.pdf
2018,September,9/30/2018,dem,2179296,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2018,September,9/30/2018,rep,1015657,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2018,September,9/30/2018,grn,9185,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2018,September,9/30/2018,lib,21882,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2018,September,9/30/2018,unaf,717168,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2018,September,9/30/2018,oth,32121,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2018,September,9/30/2018,total,3975309,https://elections.maryland.gov/pdf/vrar/2018_09.pdf
2000,January,1/31/2000,dem,1478881,https://elections.maryland.gov/pdf/vrar/0000_01.pdf
2000,January,1/31/2000,rep,765999,https://elections.maryland.gov/pdf/vrar/0000_01.pdf
2000,January,1/31/2000,lib,2104,https://elections.maryland.gov/pdf/vrar/0000_01.pdf
2000,January,1/31/2000,dec and others,320347,https://elections.maryland.gov/pdf/vrar/0000_01.pdf
2000,January,1/31/2000,total,2567331,https://elections.maryland.gov/pdf/vrar/0000_01.pdf
2001,January,1/31/2001,dem,1557219,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,rep,811655,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,lib,4278,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,grn,1337,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,const,76,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,ref,866,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,dec and others,360783,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2001,January,1/31/2001,total,2736214,https://elections.maryland.gov/pdf/vrar/0001_01.pdf
2002,January,1/31/2002,dem,1520498,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,rep,806133,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,lib,5474,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,grn,2931,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,const,188,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,ref,1092,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,unaf,349730,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,oth,10284,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2002,January,1/31/2002,total,2696330,https://elections.maryland.gov/pdf/vrar/0002_01.pdf
2003,January,1/31/2003,dem,1568027,https://elections.maryland.gov/pdf/vrar/0003_01.pdf
2003,January,1/31/2003,rep,841520,https://elections.maryland.gov/pdf/vrar/0003_01.pdf
2003,January,1/31/2003,lib,6815,https://elections.maryland.gov/pdf/vrar/0003_01.pdf
